origin_file_name,category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20200916_TOMATO_Imprint_Organic_N_10_1.RAW,1,196903100.0,1304632200.0,541493000.0,209313000.0,110896000.0,97575200.0,250651000.0,324118000.0,68793000.0,91153000.0,36543000.0,22770000.0,42704000.0,27615000.0,21195000.0,37025000.0,181555000.0,15258000.0,18852000.0,5193000.0,2222000.0,1442000.0,1653000.0,2555000.0,0.0,0.0,0.0,0.0,397000.0,939000.0,0.0,0.0,0.0,0.0,1757000.0,871000.0,36114000.0,4702000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_2.RAW,1,184206500.0,1356515900.0,560499000.0,210029000.0,109967000.0,92990000.0,242148000.0,342697000.0,66281000.0,88934000.0,33926000.0,22010000.0,41244000.0,26416000.0,20067000.0,35940000.0,177035000.0,15033000.0,17807000.0,5123000.0,1121000.0,1520000.0,1854000.0,2418000.0,0.0,0.0,0.0,0.0,0.0,759000.0,0.0,0.0,0.0,0.0,1609000.0,766000.0,33749000.0,4053000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_3.RAW,1,185811300.0,1503739800.0,610555000.0,214637000.0,109311000.0,91960000.0,248442000.0,367383000.0,65909000.0,88855000.0,35474000.0,20301000.0,39340000.0,25393000.0,18574000.0,35641000.0,185866000.0,14488000.0,18859000.0,5169000.0,1428000.0,2088000.0,1220000.0,2235000.0,0.0,0.0,0.0,0.0,0.0,876000.0,0.0,0.0,0.0,0.0,1306000.0,761000.0,35638000.0,4921000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_4.RAW,1,190294600.0,1554614100.0,632872000.0,213897000.0,109174000.0,93322000.0,242749000.0,387512000.0,66954000.0,88870000.0,33813000.0,21367000.0,37579000.0,25068000.0,18690000.0,34596000.0,193444000.0,13493000.0,17704000.0,5528000.0,890000.0,1251000.0,1433000.0,2337000.0,0.0,0.0,0.0,0.0,326000.0,840000.0,0.0,0.0,0.0,0.0,1260000.0,820000.0,35282000.0,4609000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_5.RAW,1,189962700.0,1516355000.0,629150000.0,207480000.0,109621000.0,89810000.0,239044000.0,390685000.0,65290000.0,87111000.0,33268000.0,20963000.0,35023000.0,24002000.0,16448000.0,35532000.0,187501000.0,14641000.0,18069000.0,5462000.0,693000.0,1296000.0,1460000.0,2641000.0,0.0,0.0,0.0,0.0,0.0,903000.0,0.0,0.0,0.0,0.0,1260000.0,809000.0,35209000.0,4563000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_6.RAW,1,187814200.0,1526257600.0,626032000.0,208587000.0,108286000.0,90817000.0,247603000.0,396436000.0,65455000.0,89701000.0,34062000.0,19809000.0,36482000.0,25044000.0,17417000.0,36731000.0,192948000.0,15217000.0,18500000.0,4929000.0,689000.0,1251000.0,1818000.0,2292000.0,0.0,0.0,0.0,0.0,287000.0,837000.0,0.0,0.0,0.0,0.0,1551000.0,870000.0,33886000.0,4451000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_7.RAW,1,186736500.0,1538274500.0,638445000.0,212370000.0,109775000.0,92184000.0,245725000.0,410176000.0,68036000.0,90419000.0,35365000.0,21360000.0,36081000.0,25245000.0,18001000.0,37993000.0,197657000.0,14566000.0,19196000.0,4759000.0,650000.0,1345000.0,1909000.0,2312000.0,0.0,0.0,0.0,0.0,340000.0,935000.0,0.0,0.0,0.0,0.0,1615000.0,418000.0,34984000.0,4617000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_8.RAW,1,193846100.0,1596446700.0,649853000.0,219867000.0,111754000.0,93170000.0,255503000.0,416661000.0,68415000.0,91123000.0,34687000.0,20630000.0,37527000.0,25471000.0,17206000.0,38212000.0,203279000.0,15182000.0,19287000.0,3789000.0,1376000.0,1664000.0,3107000.0,2630000.0,0.0,0.0,0.0,0.0,0.0,987000.0,0.0,0.0,0.0,0.0,1811000.0,436000.0,37506000.0,4841000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_9.RAW,1,189557000.0,1530323300.0,634696000.0,211902000.0,110004000.0,92017000.0,246766000.0,407109000.0,67599000.0,88718000.0,33545000.0,21959000.0,36468000.0,26139000.0,17096000.0,36397000.0,192535000.0,14966000.0,17975000.0,4244000.0,1391000.0,1279000.0,1933000.0,2376000.0,0.0,0.0,0.0,0.0,0.0,932000.0,0.0,0.0,0.0,0.0,1712000.0,856000.0,34972000.0,4852000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_10_10.RAW,1,189399300.0,1522561000.0,632855000.0,212907000.0,109623000.0,92884000.0,249481000.0,416259000.0,66751000.0,90952000.0,34914000.0,20849000.0,38121000.0,25735000.0,17331000.0,37671000.0,197535000.0,15794000.0,18978000.0,4149000.0,1093000.0,2212000.0,1871000.0,2392000.0,0.0,0.0,0.0,0.0,0.0,975000.0,0.0,0.0,0.0,0.0,1327000.0,837000.0,36985000.0,4750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_4_1.RAW,1,195684200.0,759150700.0,256030000.0,155454300.0,106289000.0,71117000.0,167018000.0,111827000.0,63845000.0,144117000.0,20569000.0,21454000.0,25519000.0,17954000.0,13831000.0,56584000.0,23934000.0,21458000.0,70489000.0,8045000.0,6746000.0,3152000.0,7509000.0,2551000.0,1205000.0,481000.0,208000.0,0.0,737000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_4_2.RAW,1,191302300.0,889531000.0,253361000.0,145456800.0,105927000.0,81576000.0,186508000.0,159786000.0,75060400.0,171168000.0,26864000.0,25731000.0,29593000.0,20997000.0,15467000.0,70791000.0,34004000.0,24798000.0,86020000.0,8649000.0,6756000.0,4011000.0,9559000.0,2673000.0,1338000.0,551000.0,272000.0,0.0,707000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3503000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_4_3.RAW,1,192984600.0,918672700.0,240882000.0,137847300.0,105666000.0,84900000.0,193579000.0,178489000.0,67752000.0,157176000.0,27625000.0,26437000.0,30873000.0,21102000.0,14529000.0,75042000.0,34080000.0,26431000.0,88083000.0,9109000.0,7118000.0,4129000.0,8988000.0,3021000.0,751000.0,498000.0,218000.0,0.0,661000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_4_4.RAW,1,192710600.0,944955000.0,235285300.0,139601400.0,107965000.0,89494000.0,205600000.0,195422000.0,70911000.0,155346000.0,30559000.0,28135000.0,33343000.0,22322000.0,15670000.0,82602000.0,39298000.0,28956000.0,99922000.0,9312000.0,7379000.0,4721000.0,10257000.0,2274000.0,1489000.0,536000.0,512000.0,0.0,674000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_4_5.RAW,1,188499800.0,946111000.0,226584100.0,136753600.0,106066000.0,87414000.0,204783000.0,203711000.0,74227000.0,156718000.0,32896000.0,27850000.0,33718000.0,21934000.0,15512000.0,80936000.0,40923000.0,28590000.0,93723000.0,9675000.0,7820000.0,5106000.0,11350000.0,3230000.0,1196000.0,561000.0,469000.0,0.0,739000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3796000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_4_6.RAW,1,188225600.0,987405000.0,226381200.0,139803000.0,108206000.0,91402000.0,212066000.0,207072000.0,79335000.0,169722000.0,35695000.0,28729000.0,34829100.0,23084000.0,16178000.0,85327000.0,44708000.0,30285000.0,102191000.0,10237000.0,8465000.0,5858000.0,11986000.0,3210000.0,1435000.0,318000.0,536000.0,0.0,693000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200916_TOMATO_Imprint_Organic_N_4_7.RAW,1,184285800.0,929196400.0,216911300.0,134118600.0,106551000.0,89191000.0,207749000.0,206592000.0,80756000.0,168983000.0,35334000.0,28815000.0,34228000.0,23673000.0,15826000.0,81678000.0,43218000.0,29424000.0,98235000.0,9909000.0,8179000.0,6044000.0,11732000.0,3148000.0,1448000.0,576000.0,230000.0,0.0,762000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3719000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
